Rank,CCA3,Country,Capital,Continent,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage
30,ESP,Spain,Madrid,Europe," 47,558,630 "," 47,363,807 "," 46,431,342 "," 46,572,772 "," 40,741,651 "," 38,889,889 "," 37,491,666 "," 33,792,617 ",505992,93.9909,1.0015,0.6
61,LKA,Sri Lanka,Colombo,Asia," 21,832,143 "," 21,715,079 "," 21,336,697 "," 20,668,557 "," 18,776,371 "," 17,204,094 "," 14,943,645 "," 12,388,769 ",65610,332.7563,1.0027,0.27
32,SDN,Sudan,Khartoum,Africa," 46,874,204 "," 44,440,486 "," 38,171,178 "," 33,739,933 "," 26,298,773 "," 21,090,886 "," 16,673,586 "," 11,305,206 ",1886068,24.8529,1.0267,0.59
170,SUR,Suriname,Paramaribo,South America," 618,040 "," 607,065 "," 575,475 "," 546,080 "," 478,998 "," 412,756 "," 375,112 "," 379,918 ",163820,3.7727,1.0082,0.01
87,SWE,Sweden,Stockholm,Europe," 10,549,347 "," 10,368,969 "," 9,849,349 "," 9,381,729 "," 8,871,043 "," 8,548,406 "," 8,311,763 "," 8,027,702 ",450295,23.4276,1.0079,0.13
101,CHE,Switzerland,Bern,Europe," 8,740,472 "," 8,638,613 "," 8,281,732 "," 7,822,435 "," 7,182,059 "," 6,711,693 "," 6,319,113 "," 6,181,227 ",41284,211.7157,1.0056,0.11
60,SYR,Syria,Damascus,Asia," 22,125,249 "," 20,772,595 "," 19,205,178 "," 22,337,563 "," 16,307,654 "," 12,408,996 "," 8,898,954 "," 6,319,199 ",185180,119.4797,1.0376,0.28
57,TWN,Taiwan,Taipei,Asia," 23,893,394 "," 23,821,464 "," 23,512,136 "," 23,083,083 "," 22,194,731 "," 20,586,174 "," 18,100,281 "," 14,957,870 ",36193,660.1662,1.0014,0.3
95,TJK,Tajikistan,Dushanbe,Asia," 9,952,787 "," 9,543,207 "," 8,524,063 "," 7,621,779 "," 6,272,998 "," 5,417,860 "," 4,045,965 "," 2,993,019 ",143100,69.5513,1.0208,0.12
22,TZA,Tanzania,Dodoma,Africa," 65,497,748 "," 61,704,518 "," 52,542,823 "," 45,110,527 "," 34,463,704 "," 26,206,012 "," 19,297,659 "," 13,618,192 ",945087,69.3034,1.03,0.82
20,THA,Thailand,Bangkok,Asia," 71,697,030 "," 71,475,664 "," 70,294,397 "," 68,270,489 "," 63,066,603 "," 55,228,410 "," 45,737,753 "," 35,791,728 ",513120,139.7276,1.0013,0.9
155,TLS,Timor-Leste,Dili,Asia," 1,341,296 "," 1,299,995 "," 1,205,813 "," 1,088,486 "," 878,360 "," 758,106 "," 642,224 "," 554,021 ",14874,90.1772,1.0154,0.02
100,TGO,Togo,Lomé,Africa," 8,848,699 "," 8,442,580 "," 7,473,229 "," 6,571,855 "," 5,008,035 "," 3,875,947 "," 2,838,110 "," 2,197,383 ",56785,155.8281,1.0236,0.11
233,TKL,Tokelau,Nukunonu,Oceania," 1,871 "," 1,827 "," 1,454 "," 1,367 "," 1,666 "," 1,669 "," 1,647 "," 1,714 ",12,155.9167,1.0119,0
197,TON,Tonga,Nuku‘alofa,Oceania," 106,858 "," 105,254 "," 106,122 "," 107,383 "," 102,603 "," 98,727 "," 96,708 "," 86,484 ",747,143.0495,1.0079,0
153,TTO,Trinidad and Tobago,Port-of-Spain,North America," 1,531,044 "," 1,518,147 "," 1,460,177 "," 1,410,296 "," 1,332,203 "," 1,266,518 "," 1,127,852 "," 988,890 ",5130,298.4491,1.0035,0.02
79,TUN,Tunisia,Tunis,Africa," 12,356,117 "," 12,161,723 "," 11,557,779 "," 10,895,063 "," 9,893,316 "," 8,440,023 "," 6,578,156 "," 5,047,404 ",163610,75.5218,1.0076,0.15
18,TUR,Turkey,Ankara,Asia," 85,341,241 "," 84,135,428 "," 79,646,178 "," 73,195,345 "," 64,113,547 "," 54,324,142 "," 44,089,069 "," 35,540,990 ",783562,108.9145,1.0067,1.07
111,TKM,Turkmenistan,Ashgabat,Asia," 6,430,770 "," 6,250,438 "," 5,766,431 "," 5,267,970 "," 4,569,132 "," 3,720,278 "," 2,862,903 "," 2,201,432 ",488100,13.1751,1.014,0.08
212,TCA,Turks and Caicos Islands,Cockburn Town,North America," 45,703 "," 44,276 "," 36,538 "," 29,726 "," 18,744 "," 11,709 "," 7,598 "," 5,665 ",948,48.2099,1.0131,0
